Nederlands;Gronings
Waar ze geen rekening mee hield, was dat het water altijd in beweging is en dat het zand aan de waterkant doordring wat soberg is.;Woar ze gain reken mit holden haar was, dat t wotter altied in bewegen is en dat t zaand aan de wotterkant doardeur wat sobbeg is.
Vanaf het muurtje kon ik haar bewegingen meemaken en ik was toen ook niet verbaasd, toen zij opeens vaste grond onder de voeten was verloren en ...;Vanòf t muurtje kon ik heur bewegens mitkriegen en ik was din ook nait verboasd, dou zai opains vaste grond onder de vouten kwiet was en ...
zij over haar volledige lengte in de golven terechtgekomen.;zai over heur volle lengte in de golven terèchte kwam.
Wat doe je in zo'n geval?;Wat dou je in zo n geval?
Eerst sprong ik van de muur af. Misschien kon ik helpen.;Eerst sprong ik van t muurtje Q meschain kon k helpen.
Maar toen ik zag dat zij alweer overleden kwam, kreeg ik de indruk dat de hulp niet meer zo nodig was!;Mor dou ik zag, dat zai al weer overènde kwam, kreeg k de indruk dat hulp nait meer zo neudeg was!
Doordat ze plat op het lief in het water was opgeblazen, was ze van boven tot onder kletsnat en bedekt met een laag nat zand!;Deurdat ze plat op t lief in t wotter ploft was, was ze van boven tot onder kletsnat en bedekt mit n loage nat zaand!
Hulpeloos keek ze naar boven, niet in staat om een geluid uit te brengen.;Hulpeloos keek ze noar boven, nait in stoat n geluud uut te brengen.
Ik schreeuw: Kom dit bord maar op.;Ik ruip: “Kom dizze kaante mor op.”
Mijn geroep ging verloren in het lawaai en gepraat van de mensen om ons heen!;Mien roupen gong verloren in t lewaai en geproat van de mìnsen om ons tou!
Ik zag haar de trap opsturen, nerveus dat een hele boel mensen verbaasd naar haar keken.;Ik zag heur trappe opstrompeln, onnerwiel dat n hail bult mensen verboasd noar heur keken.
Ik kon de gedachten van die mensen lezen. Hij is ook niet erg nuchter meer, hoorde ik ze denken.;Ik kon de gedachten van dij lu lezen Q Dij is ook nait hail nuchter meer, heurde ik ze denken.
Toen mijn vrouw weer bij mij stond op de promenade, kreeg ze pas zelf in de goaten hoe ze er uitzag!;Dou mien vraauw weer bie mie ston op promenade, kreeg ze zulf pas in de goaten hou zai der oet zag!
Ik kon het niet helpen, maar ik moest in stilte even gniffelen.;Ik kon t nait helpen Q mor k mos in stilte even gnivveln.
Iets vanzelfs kan iedereen overkomen, maar zo als zij eruit zag...;Zowat kin vanzulf elks overkommen, mor zo as zai der oet zag ...
Als had ze een schip met turf leeggekreed!;Asof ze n schip mit törf leegkrood haar!
"""Hoe moet ik daar nu mee omgaan?"" schreeuwde ze, ""ik kan me zo ja nergens laten zien.""";“Hou mout ik doar nou mit aan”, jengelde ze, “ik kin mie zo ja naargens vertonen.
En wij moeten de dame ook nog eens met de trein naar huis!;En wie mouten dammee ook nog weer mit traain noar hoes!
Ja, dacht ik, daar heeft ze vanzelf gelijk in, we hebben een probleem!;Joa, docht ik, doar het ze vanzulf geliek in, wie hebben n probleem!
"""Laten we eerst maar het hier op het muurtje gaan zitten, dan kun je in ieder geval een beetje opdrogen, het is maar water en zand, de zon zal ons wel een beetje helpen,"" zei ik.";“Loat wie eerst mor es hier op t muurtje zitten goan, din kinst in elk geval n beetje opdreugen, t is mor wotter en zaand, zunne zel ons wel n beetje helpen”, zee ik.
We waren ondertussen wel zwaar in de kijker lopen.;Wie waren onnertussen wel zwoar in de kieker lopen.
Ik zat naast mijn vrouw, maar ze deed alsof ik er helemaal niet bij hoorde en keek angstaanjagend naar overkant van de promenade naar al die kleine winkeltjes, die van alles en nog wat te koop waren.;Ik zat noast mien vraauw, mor dee net of k der hailendaal nait bie heurde en keek onnerwiel noar overkaante van promenade noar aal dij klaaine winkeltjes, dij van alles en nog wat te koop haren.
Plotseling voelde het kwartje;Inains vuil t kwartje
Q Luister even, zou het niet verstandig zijn, dat we even bij die winkeltjes gaan kijken?;Q “Luuster es even, zol t nait verstandeg wezen, dat wie es even bie dij winkeltjes kieken goan?”
Eerst keek ze me aan of ik goed was;Eerst keek ze mie aan as of k
Frans praat.;Frans pruit.
Ik kan toch niet in deze toestand Q Dou bij haar ook het kwartje voelen.;“Ik kin toch nait in dizze toustand Q” Dou vuil bie heur ook t kwartje.
Ik denk dat je gelijk hebt!;“Mie dunkt, doe hest geliek!
Dat ik daar zelf nog niet op gekomen ben.;Dat k doar zulf nog nait op kommen bin.”
En weg stoute ze voor mij aan, ik kon haar bijna niet bijhouden.;En weg stevelde ze veur mie aan, ik kon heur hoast nait bieholden.
Toen we het winkelje binnenkwamen, keek de eigenaar ons misleidend aan;Dou wie t winkeltje in kwamen, keek d'aigenoar ons mispriezend aan
Q en keek naar de vloer of die ook nat en voel zich!;Q en keek noar de vlouer of dij ook nat en voel wuir!
Toen hij zag dat dit niet het geval was, werd zijn blik iets vriendelijker.;Dou hai zag dat dit nait het geval was, wui zien blik wat vrundelker.
Met wat kan ik mevrouw van dienst zijn? vroeg hij, die wist dat hij aan mij persoonlijk niets kon verdienen.;“Waarmee kan ik mevrouw van dienst zijn?” vruig hai, wel waitende dat hai aan mie persoonlek niks verdainen kon.
Ja, zei mijn vrouw, zie je wat er met mij is gebeurd...;“Ja”, zee mien vraauw,” u ziet wat mij is overkomen ...
dus ik zal wat nieuwe spullen moeten kopen!;dus ik zal wat nieuwe spullen moeten kopen!”
Dat klonk man als muziek in de oren en hij dartelde voor haar naar een ander deel van de winkel.;Dat klonk man as meziek in oren en hai dartelde veur heur aan noar n ander dail van winkel.
Kijk mevrouw, hier kunt u zeker uw keuze wel maken.;“Kijk mevrouw, hier kunt u vast uw keus wel maken.
Kan ik u nog helpen?;Kan ik u nog behulpzaam zijn?”
De vrouw wimpelde dat af, omdat ze liever zelf snustert, zonder iemand die op uw handen kijkt...!;Vraauw wimpelde dat òf, omdat zai laiver zulf snuustert, zunder ain dij joe op handen kikt ...!
In de tussentijd was ik weer op de promenade te lopen aangezien ik toch maar in de weg liep, en stond buiten te kijken naar de mensen die aan mij voorbij trokken ...;In tussentied was ik promenade weer op lopen omreden dat ik toch mor in wege luip, en ston boeten te kieken noar t volk, dat aan mie veurbie trok ...
Na een lange tijd, waarin ik van de ene benen op de andere leunde, zo zeer dat mij de rogge gaf, kwam de vrouw de winkel uit met een grote tas;Noa n haile tied, woarin ik van t aine bain op t andere leunde, zo zeer dee mie de rogge, kwam vraauw winkel oet mit n grode tazze
Q en ik zeggen jullie;Q en ik zeg joe
Ik heb helemaal uitgeput in het nieuwe!;Q hailemoal uutstokt in t nij!
Ik kon het wel lieten en vertelde haar dat!;Ik mog t wel lieden en vertelde heur dat!
Nou, zei ze, mag ik nog even in de winkel;“Nou”, zee ze, ”ik mog mie in de winkel nog even
wassen en maken.;wassen en opmoaken.
Echter heeft hij de vieze spullen even voor mij in een grote tas gedaan en na de betaling die hij zelf de deur voor mij opende en me een mooi rijje naar huis wenst!;Aigenoar het de vieze spullen even veur mie in n grode tazze doan en noa t betoalen dee hai zulf deure veur mie open en wìnste mie nog n schiere raaize noar hoes!
Echt een heer!;Echt n gentleman!”
Ik kan het niet laten: Gentleman, gentleman;Ik kan t nait loaten: “Gentleman, gentleman
Wat wil je, jij hebt zijn dag goed gemaakt, hij heeft het dik aan jou verdiend, zo te zien! O, zei ze, je zult ook niet overal negatieve opmerkingen maken over een pessimist!;Wat wilst, doe hest zien dag goudmoakt, hai het dik aan die verdaind, zo te zain!” “Och”, zee ze, “doe zelst ook nait overaal negatieve opmaarkens over moaken, pessimist!”
In zo'n moment weet ik te zwijgen.;Op zo’n moment wait ik te zwiegen.
Een ding was zeker, de vrouw was tevreden en een tevreden vrouw is heel wat waard.;Ain ding was zeker, vraauw was tevreden en n tevreden vraauw is hail wat weerd.
Het zal duidelijk zijn dat we die dag in Scheveningen niet echt veel meer ondernomen hebben!;t Zel dudelk wezen, dat wie dij dag in Scheveningen nait echt veul meer ondernomen hebben!
Toen we later die avond weer thuis waren, hadden we nog even over, onder het genot van een glasje.;Dou wie loater op d’oavend weer in hoes waren hebben we ter nog even over had, onder t genot van n glaske.
Het was toch een mooie dag geweest, een duur dag, dat wel...;t Was toch n mooie dag west, n kostboare dag, dat wel ...
maar kostbaar kun je van twee kanten bekijken!;mor kostboar kin je van twij kanten bekieken!
Hadden we Q Net Q en dat is niet te betalen!;Lagd dat wie hebben Q Juust Q en dat is nait te betoalen!
George Petzinger 20 die met de streektaal van te maken hebben.;George Petzinger 20 dij mit de streektoal van doun hebben.
Omdat Bert dat voor tien uur niet kan regelen, heb ik maar besloten op de nuigen in te gaan.;Omdat Bert dat veur tien uur nait regeln kin, heb ik mor besloten op de nuigen in te goan.
Het was even doorbreken op zo'n vroege tijdstip en even zoeken in;t Was even deurbieten op zo’n vroug tiedstip en even zuiken in
Sapmeer, maar de;Sapmeer, mor de
TomTom wees me de weg en zo kwam ik om kwart voor tien in de studio aan.;TomTom wees mie de weg en zo kwam k om kwart veur tiene in de studio aan.
Daar zat Gerard al met wat andere mensen achter de koffie.;Doar zat Gerard al mit wat aander mìnsen achter de kovvie.
Even een praatje vooraf en dan direct in de uitzendingen.;Even n proatje veuròf en toun rechtstreeks in de uutzenden.
Het was de eerste keer voor mij en daarom wel bijzonder om dat ook mee te maken.;t Was de eerste moal veur mie en doarom toch wel biezunder om dat ook es mit te moaken.
Ik had de naam Radio Komnij die als een keer had gehoord maar daarna was ik ook niet gekomen.;k Haar de noam “Radio Komnij“ wel es n moal heurd mor wieder was k ook nait kommen.
Ik vond het heel goed dat we;k Vond t hail schier, dat we
Kruis zo wat meer in de schinowerpers kunnen zetten en dat ik op mijn beurt nu wat meer weet van Radio;Kreuze zo wat meer in de schienwaarpers zetten konden en dat ik op mien beurt nou wat meer wait van “Radio
De gemeenschap en de mensen die daar al jarenlang onverschillig voor inzetten.;Komnij” en de lu dij zok doar al joarenlaank belangeloos veur inzetten.
Ik heb met Gerard afgesproken, dat we contact houden.;k Heb mit Gerard òfsproken, dat wie kontakt holden.
Ook kwam hij nog met een voorstel:;Ook kwam hai nog mit n veurstel:
Hij zou het heel mooi vinden om er eens een van onze dichters of schrijvers in de uitgaven te hebben om iets te vertellen of uit zijn eigen werk voor te lezen.;Hai zol t hail schier vinden om es n moal ain van onze dichters of schrievers in de uutzenden te hebben om wat te vertèllen of uut aigen waark veur te lezen.
Als er `lu zijn die wat voor voelen, kun je dat rechtstreeks met;As der `lu binnen dij doar wel wat veur vuilen, kin je dat rechtstreeks mit
Gerard bespreekt, maar het mag vanzelf ook via;Gerard bespreken, mor t mag vanzulf ook via
Ik ben benieuwd.;k Bin benijd.
Als je iets meer wilt weten over Radio;As je wat meer waiten willen over “Radio
Kom! http://www.radiocompagnie.nl/ http://www.radiocompagnie.nl/ev/;Komnij”: http://www.radiocompagnie.nl/ http://www.radiocompagnie.nl/ev/
Toegevoegd.html;Toezeboudel.html
Vandaag blijf ik vaak wat langer liggen dan andere dagen.;Sundags blief ik voak wat langer liggen as aander doagen.
Dat is een dag om het rustig aan te doen.;Dat is n dag om t rusteg aan te doun.
Dat was 20 oktober een poosje geleden.;Dat was 20 oktober even aans.
Ik had een afspraakje;Ik haar n òfsproak mit
Lunshof om in de rechtstalige uitzendingen van Toezeboudel , een programma van Radio te komen;Lunshof om in de rechtsteekse oetzenden te kommen van “Toezeboudel “, n pergram van “Radio
Maatschappij, in;Compagnie”, in
Groningen beter bekend dan Radio;Grunnen beter bekend as “Radio
Kom, dat wordt iedere zondagochtend om tien uur uitgezonden.;Komnij”, dat elke zundagmörgen om tien uur uutzonden wordt.
Daarvoor worden constant gasten uitgenodigd,;Doarveur worden steevast gasten nuigd,
21 draaien..;21 draaien..
van krassen op de krussfiets door het park, cassettebandjes,;van krössen op krössfiets deur t paark, cassettebandjes,
Maar en playback wedstrijden tot zelf papa worden en met de kinderen spelen op het ijs van;Maar en playbackwedstrieden tot zulf pabbe worden en mit kinder speulen op t ies van
Koolham..;Kolham..
Weer terugkijken in het verleden maar ook;Weeromkieken ien t verleden mor ook
Weer in de zin van muziek maakt hij die dicht bij mij staat.;Weerom in de zin van meziek moaken dij dicht bie mie zulf staait.
Gronings kan ik over zingen;Grunnegs kin k zingen over
Terugweg,;Kielsterachterweg,
Gekersland en voorleesboeken als;Dekkersland en veurleesboukjes as
Melk de vos.;Mikkel de vos.
Ik hoef het niet in het Engels te vertalen.;k Huf t nait te vertoalen noar t Engels.
Het schrijven ging ook als een speer.;t Schrieven gung ook as n speer.”
Veel;Veul
De groningen beneden de vatteg zijn niet grootbrocht met de;Grunnegers beneden de vatteg binnen nait grootbrocht mit de
Grondigere taal.;Grunneger toal.
Doe ook niet zo, net als zangeres;Doe ook nait, net as zangeres
Bass;Bas
Schröder (voorman van de band);Schröder (veurman van de band
Swinder, dichteres;Swinder), dichteres
Fieke;Fieke
Goedertieren.;Gosselaar.
Maar jullie zijn allemaal met de Groninger aan het drijven.;Moar joe binnen aalmoal mit t Grunnegers aan d'loop.
Hoe komt dat?;Hou komt dat?
Ik ben jaren geleden steeds opnieuw gevraagd om iets in Grunnegers te schrijven, maar ik heb er niet aan gekost.;“k Bin joaren leden aal n moal vroagt om wat ien Grunnegers te schrieven mor k duurde t nait aan.
Ik heb altijd wel Grunnigers gehoord via opa en oma en radio Noord maar ik praat niet.;k Heb aaltied wel Grunnegers heurd deur opa en oma en radio Noord mor proaten dee k nait.
Toen Hans ten Haven kwam met het verzoek om samen iets op te nemen wilde ik toch een kans geven.;Dou Hans ten Have kwam mit de vroag om soamen wat op te nemen wol k toch n kaans geven.
't Leste lied' was een Engelstalige nummer van mij dat ik vertaald heb naar het Grunnegers.;'t Lèste laid' was n Engelstoaleg nummer van mie dij k vertoald heb noar t Grunnegers.
Hans heeft me wat geholpen met de tekst.;Hans het mie wat holpen mit de tekst.
'Kilsterachterweg' was de eerste die ik schreef maar ik had er lang geen muziek bij.;'Kielsterachterweg' was d'eerste dij k schreef mor k haar der laang gain meziek bie.
Ik kreeg de smaak te pakken en het idee ontstond om een theatervoorstelling in elkaar te zetten.;k Kreeg de smoak te pakken en t idee onstond om n theatervoorstelling ien nkander te zetten ('Terug noar de
stamtafel') en zo mos ik aan de bak en schreef in korte tijd 12 liedjes...;Stamtoavel') en zo mos ik aan de bak en schreef ien körde tied 12 laidjes...
ze staan waarschijnlijk op aarde.;sikkom aalmoal stoan ze op Weerom.
Ik vind het klinkt leuk;k Vind de klank mooi van t
Grunnigers en soms klinken zinnen beter in deze taal dan in de Nederlandse;Grunnegers en sums klinken zinnen beter ien dizze toal den ien t
Nederlands.;Nederlands.
'Wees met jou' klinkt beter dan 'Vriendelijk met jou'.;'Wies mit die' klinkt beter den 'Blij met jou'.”
De draad spreekt een beetje;Droadproat n
Facebook-interview mee;Facebook-interview mit
Zanger-liedenschrijver;Zanger-laidschriever
Groot (Zuid-Afrika, 1975) is tot dusver genoemd aan droop;Groot (Zuudhörn, 1975) is tot zowied benoam aan dloop west mit
Engelstalig werk.;Engelstoaleg waark.
Hij heeft in verschillende bands gespeeld, het meest bekende had hij met Henkus.;Hai het in verschaaiden bands speuld, de mainste bekendhaid haar e mit Henkus.
Vroeger was het even stil, maar het podium bleef trekken.;Noatied was t even stil, moar t podium bleef trekken.
Door een duet met Hans ten Haven heeft hij ontdekt dat zingen in het Gronings ook goed past hem.;Deur n duet mit Hans ten Have het hai ontdekt dat zingen in t Grunnegers hom ook goud paast.
